airline,airport1,airport2,cnt
XX,AAE,ALG,1
XX,AAE,CDG,1
XX,AAE,IST,1
XX,AAE,LYS,1
XX,AAE,MRS,2
XX,AAE,ORN,1
XX,AAE,ORY,2
XX,AAL,AAR,1
XX,AAL,AGP,1
XX,AAL,ALC,1
XX,AAL,AMS,2
XX,AAL,ARN,1
XX,AAL,BCN,2
XX,AAL,BLL,3
XX,AAL,CPH,2
XX,AAL,IST,1
XX,AAL,LGW,1
XX,AAL,OSL,3
XX,AAL,PMI,1
XX,AAL,SVG,1
XX,AAN,CCJ,1
XX,AAN,PEW,1
XX,AAQ,DME,1
XX,AAQ,LED,1
XX,AAQ,SVO,1
XX,AAR,AAL,1
XX,AAR,AGP,1
XX,AAR,BMA,1
XX,AAR,CPH,1
XX,AAR,GOT,1
XX,AAR,OSL,1
XX,AAR,PMI,1
XX,AAR,STN,1
XX,AAT,URC,2
XX,AAX,POJ,1
XX,AAY,SAH,1
XX,ABA,DME,1
XX,ABA,IKT,1
XX,ABA,NSK,1
XX,ABA,SVO,1
XX,ABB,ABV,1
XX,ABB,LOS,1
XX,ABD,MHD,2
XX,ABD,SYZ,1
XX,ABD,THR,3
XX,ABE,ATL,3
XX,ABE,CLT,2
XX,ABE,DTW,1
XX,ABE,MYR,1
XX,ABE,ORD,1
XX,ABE,PGD,1
XX,ABE,PHL,2
XX,ABE,PIE,1
XX,ABE,SFB,1
XX,ABI,DFW,2
XX,ABJ,ACC,7
XX,ABJ,ALG,1
XX,ABJ,BKO,2
XX,ABJ,BOY,1
XX,ABJ,BRU,4
XX,ABJ,CDG,2
XX,ABJ,CKY,2
XX,ABJ,CMN,1
XX,ABJ,COO,3
XX,ABJ,DKR,3
XX,ABJ,DLA,1
XX,ABJ,FNA,1
XX,ABJ,IST,1
XX,ABJ,LBV,1
XX,ABJ,LFW,5
XX,ABJ,LOS,4
XX,ABJ,NBO,1
XX,ABJ,ORY,1
XX,ABJ,OUA,7
XX,ABJ,ROB,1
XX,ABJ,TUN,1
XX,ABL,OTZ,2
XX,ABL,SHG,2
XX,ABM,CNS,1
XX,ABQ,ATL,5
XX,ABQ,BWI,1
XX,ABQ,CNM,1
XX,ABQ,DAL,1
XX,ABQ,DEN,3
XX,ABQ,DFW,2
XX,ABQ,HOU,1
XX,ABQ,IAH,1
XX,ABQ,JFK,1
XX,ABQ,LAM,1
XX,ABQ,LAS,2
XX,ABQ,LAX,5
XX,ABQ,MCI,2
XX,ABQ,MDW,2
XX,ABQ,MSP,1
XX,ABQ,OAK,1
XX,ABQ,ORD,3
XX,ABQ,PDX,2
XX,ABQ,PHX,3
XX,ABQ,SAN,1
XX,ABQ,SEA,1
XX,ABQ,SFO,1
XX,ABQ,SLC,1
XX,ABR,MSP,1
XX,ABS,ASW,1
XX,ABT,DMM,1
XX,ABT,JED,1
XX,ABT,RUH,1
XX,ABV,ABB,1
XX,ABV,ACC,1
XX,ABV,ADD,1
XX,ABV,BNI,1
XX,ABV,CAI,1
XX,ABV,CBQ,1
XX,ABV,CDG,3
XX,ABV,COO,1
XX,ABV,ENU,1
XX,ABV,FRA,1
XX,ABV,GMO,1
XX,ABV,IBA,1
XX,ABV,ILR,1
XX,ABV,KAN,1
XX,ABV,LFW,1
XX,ABV,LHR,1
XX,ABV,LOS,1
XX,ABV,NDJ,1
XX,ABV,NIM,1
XX,ABV,PHC,4
XX,ABV,QOW,1
XX,ABV,QRW,1
XX,ABV,SKO,1
XX,ABV,SSG,1
XX,ABV,YOL,1
XX,ABX,MEL,1
XX,ABX,SYD,3
XX,ABY,ATL,4
XX,ABZ,AMS,1
XX,ABZ,BGO,2
XX,ABZ,BHD,1
XX,ABZ,BHX,1
XX,ABZ,BRS,1
XX,ABZ,CDG,3
XX,ABZ,CPH,1
XX,ABZ,DUB,1
